dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.02631578 5.247928 5.247927 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 5.247928 5.247927 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 0 0 0.86989784 0.13010216 1.0 1.0 0.016000276 5.9657598 4.385183 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.016000276 0.21199508 0.21199508 0.016000276 5.9657598 4.385183 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 0 0 0.8117206 0.18827935 1.0 1.0 0.016931351 5.8841596 4.6604333 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.13580082 0.016931351 0.13580082 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.016931351 0.13580082 0.016931351 0.016931351 0.016931351 0.016931351 5.8841596 4.6604333 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 0 0 0.7315177 0.26848236 0.99999994 1.0 0.068011366 3.8780804 4.9024453 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.068011366 0.017295016 0.10650283 0.017295016 0.068011366 0.017295016 0.017295016 0.017295016 0.068011366 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.068011366 0.017295016 0.017295016 0.017295016 0.017295016 0.068011366 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.017295016 0.068011366 3.8780804 4.9024453 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 1 0 0.98760605 0.012393922 0.99999994 1.0 0.007943609 6.97599 2.8701057 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.56472874 0.007943609 0.007943609 0.007943609 0.007943609 0.14930142 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 0.007943609 6.97599 2.8701057 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 0 0 0.99272555 0.007274438 1.0 1.0 0.00896018 6.8022566 2.64355 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.6684737 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 0.00896018 6.8022566 2.64355 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 0 0 0.5 0.5 1.0 1.0 0.026315775 5.2479286 5.247926 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 0.026315775 5.2479286 5.247926 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 0 0 0.8781926 0.12180744 1.0 1.0 0.01410147 6.1480103 4.304861 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.13412854 0.23819077 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.13412854 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 0.01410147 6.1480103 4.304861 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 0 0 0.53737885 0.46262118 1.0 1.0 0.016894488 5.887304 4.636483 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.057440106 0.08103942 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.057440106 0.016894488 0.016894488 0.22966738 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 0.016894488 5.887304 4.636483 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 0 0 0.9407264 0.059273586 1.0 1.0 0.014622566 6.0956597 3.813633 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.4589655 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 0.014622566 6.0956597 3.813633 
